Title,Author,Avg rating,Number of Ratings,Year Published,Score
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,3.88,88908,2011,6.7489408
Fish: A Proven Way to Boost Morale and Improve Results,Stephen C. Lundin,3.93,28023,1996,6.7475146
Lead the Field,Earl Nightingale,4.01,4436,1976,6.7469915
Super Thinking: The Big Book of Mental Models,Gabriel Weinberg,4.04,2207,2019,6.7438023
The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,3.99,6967,2017,6.7430458
The Power of Meaning: Crafting a Life That Matters,Emily Esfahani Smith,4.01,4255,2017,6.7288996
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,3.96,13452,2007,6.7287869
The Leader Who Had No Title: A Modern Fable on Real Success in Business and in Life,Robin S. Sharma,3.96,13156,2010,6.7191239
Wishcraft: How to Get What You Really Want,Barbara Sher,4.03,2571,1979,6.7101021
How to Have a Good Day: Harness the Power of Behavioral Science to Transform Your Working Life,Caroline  Webb,4.02,3157,2016,6.6992746
"Why We Want You To Be Rich: Two Men, One Message",Donald J. Trump,3.95,15787,2006,6.6982996
"Bold: How to Go Big, Create Wealth and Impact the World",Peter H. Diamandis,3.97,9876,2015,6.6945811
"Focal Point: A Proven System to Simplify Your Life, Double Your Productivity, and Achieve All Your Goals",Brian Tracy,4.05,1554,2001,6.691451
The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,David Bach,3.94,18920,2003,6.6769211
"Game Changers: What Leaders, Innovators, and Mavericks Do to Win at Life",Dave Asprey,4.03,2355,2018,6.6719909
Recovery: Freedom from Our Addictions,Russell Brand,3.96,11767,2017,6.6706658
A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,3.92,29213,2004,6.6655762
This is Marketing: You Can't Be Seen Until You Learn To See,Seth Godin,3.95,14549,2018,6.6628331
"Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World",Gary Vaynerchuk,3.97,8893,2013,6.6490483
Business Model You: A One-Page Method For Reinventing Your Career,Tim  Clark,4,4394,2012,6.6428601
"Not Nice: Stop People Pleasing, Staying Silent, & Feeling Guilty... And Start Speaking Up, Saying No, Asking Boldly, And Unapologetically Being Yourself",Aziz Gazipura,4.02,2661,2017,6.6250449
"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More",Joe Vitale,3.99,5274,2007,6.6221401
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,3.88,65607,2012,6.6169502
Solve for Happy: Engineer Your Path to Joy,Mo Gawdat,3.97,8102,2017,6.6085922
The Pathless Path: Imagining a New Story For Work and Life,Paul  Millerd,4.01,3207,2022,6.606099
Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,Geoff Colvin,3.93,20146,2008,6.6041888
The Examined Life: How We Lose and Find Ourselves,Stephen Grosz,3.94,15851,2012,6.6000567
"Manage Your Day-to-Day: Build Your Routine, Find Your Focus, and Sharpen Your Creative Mind",Jocelyn K. Glei,3.92,24419,2013,6.5877279
"The Pursuit of Perfect: How to Stop Chasing Perfection and Start Living a Richer, Happier Life",Tal Ben-Shahar,4.03,1925,2009,6.5844307
Life's Golden Ticket,Brendon Burchard,3.99,4820,2007,6.583047
What Every Body is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,Joe Navarro,3.91,30180,2008,6.5797192
How To Enjoy Your Life And Your Job,Dale Carnegie,4,3794,,6.5790973
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,3.87,72098,2001,6.5579232
How to Be a Bawse: A Guide to Conquering Life,Lilly Singh,3.93,17487,2017,6.5427153
"Love Your Life, Not Theirs: 7 Money Habits for Living the Life You Want",Rachel Cruze,3.97,6809,2016,6.5330833
Willpower Doesn't Work: Discover the Hidden Keys to Success,Benjamin P. Hardy,4,3409,2018,6.532627
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,3.9,33464,2016,6.5245779
How to Win at College: Surprising Secrets for Success from the Country's Top Students,Cal Newport,4,3346,2005,6.5245259
The Practice: Shipping Creative Work,Seth Godin,3.99,4205,2020,6.523766
The Power of a Positive No: How to Say No and Still Get to Yes,William Ury,4,3311,2007,6.5199592
The Practicing Mind: Bringing Discipline and Focus into Your Life,Thomas M. Sterner,3.96,8215,2006,6.5146076
"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,3.94,12931,2019,6.5116321
"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success",Shawn Stevenson,3.96,8154,2014,6.5113707
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,3.91,25496,2014,6.5064721
Real Happiness: A 28-Day Program to Realize the Power of Meditation,Sharon Salzberg,3.97,6369,2011,6.5040712
What the Dog Saw and Other Adventures,Malcolm Gladwell,3.85,100537,2009,6.5023259
Laziness Does Not Exist,Devon  Price,3.96,7949,2021,6.5003125
Getting Past No: Negotiating in Difficult Situations,William Ury,3.97,6163,1991,6.4897922
You Are a Badass at Making Money: Master the Mindset of Wealth,Jen Sincero,3.9,30023,2017,6.4774541
Mindless Eating: Why We Eat More Than We Think,Brian Wansink,3.94,11870,2006,6.4744507
"Start.: Punch Fear in the Face, Escape Average, and Do Work That Matters",Jon Acuff,3.96,7340,2013,6.4656961
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,3.92,18362,2012,6.46392
The Well-Educated Mind: A Guide to the Classical Education You Never Had,Susan Wise Bauer,3.99,3595,2003,6.4556989
You Learn by Living: Eleven Keys for a More Fulfilling Life,Eleanor Roosevelt,3.98,4423,1960,6.4457169
"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love, and Happiness",Bradley  Nelson,3.98,4414,2007,6.4448323
Immunity to Change: How to Overcome It and Unlock the Potential in Yourself and Your Organization,Robert Kegan,4.01,2210,2009,6.4443923
"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,3.95,8686,2016,6.4388198
"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,3.95,8686,2016,6.4388198
Die with Zero: Getting All You Can from Your Money and Your Life,Bill Perkins,3.93,13617,2020,6.4340814
"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,3.94,10702,2012,6.4294649
Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,3.9,26707,2018,6.4266251
The Autobiography of Benjamin Franklin,Benjamin Franklin,3.85,84343,1791,6.426049
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Marie Kondō,3.88,41542,2012,6.4184874
"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work",Steven Kotler,3.95,8267,2017,6.4173479
How to Win Friends and Influence People in the Digital Age,Dale Carnegie,3.93,13031,2011,6.4149777
"How Successful People Think: Change Your Thinking, Change Your Life",John C. Maxwell,3.93,13011,,6.4143107
How to Break Up with Your Phone: The 30-Day Plan to Take Back Your Life,Catherine Price,3.92,16275,2018,6.411521
Emotional Intelligence 2.0,Travis Bradberry,3.85,80701,2003,6.4068789
Designing Your Life: Build a Life that Works for You,Bill Burnett,3.91,19994,2016,6.4008997
Why Has Nobody Told Me This Before?,Julie      Smith,3.9,24967,2022,6.3973664
A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,Warren Berger,3.96,5986,2014,6.3771367
Go Put Your Strengths to Work: 6 Powerful Steps to Achieve Outstanding Performance,Marcus Buckingham,3.97,4715,2008,6.3734817
"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life",Arthur C. Brooks,3.94,9402,,6.3732202
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,3.89,29601,2010,6.3713064
"Improv Wisdom: Don't Prepare, Just Show Up",Patricia Ryan Madson,4,2319,2005,6.3653007
The End of Procrastination: How to Stop Postponing and Live a Fulfilled Life,Petr Ludwig,3.99,2909,2013,6.3637437
"Refuse to Choose!: Use All of Your Interests, Passions, and Hobbies to Create the Life and Career of Your Dreams",Barbara Sher,3.97,4512,2006,6.3543691
Wintering: The Power of Rest and Retreat in Difficult Times,Katherine May,3.87,44956,2020,6.3527877
Ikigai: The Japanese Secret to a Long and Happy Life / The Little Book of Lykke / Lagom: The Swedish Art of Balanced Living,Hector Garcia Puigcerver,3.87,44939,2018,6.3526234
The Alter Ego Effect: The Power of Secret Identities to Transform Your Life,Todd  Herman,3.99,2814,2019,6.3493241
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,3.84,85853,2008,6.3337555
The Art of Possibility: Transforming Professional and Personal Life,Rosamund Stone Zander,3.93,10778,2000,6.3325382
Think Like a Freak,Steven D. Levitt,3.86,53989,2014,6.3323053
The Way We're Working Isn't Working: The Four Forgotten Needs That Energize Great Performance,Tony Schwartz,3.99,2578,2010,6.3112829
"Sorry I'm Late, I Didn't Want to Come: An Introvert's Year of Living Dangerously",Jessica Pan,3.9,19898,2019,6.2988094
Status Anxiety,Alain de Botton,3.9,19234,2004,6.2840696
The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,3.86,48165,1997,6.2827316
Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment,Martin E.P. Seligman,3.92,11998,2002,6.2791089
"Buy Yourself the F*cking Lilies: And Other Rituals to Fix Your Life, from Someone Who's Been There",Tara Schuster,3.9,18974,2020,6.2781589
"Think Straight: Change Your Thoughts, Change Your Life",Darius Foroux,3.91,14301,2017,6.2553664
"The 5 Second Rule: Transform Your Life, Work, and Confidence with Everyday Courage",Mel Robbins,3.87,35840,2017,6.254368
We Need to Talk: How to Have Conversations that Matter,Celeste Headlee,3.96,4490,2017,6.2522463
Personal Development for Smart People: The Conscious Pursuit of Personal Growth,Steve Pavlina,3.96,4463,2008,6.2496269
"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,3.88,28053,2004,6.2479793
Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,3.9,17633,2015,6.2463262
Unfu*k Yourself: Get Out of Your Head and Into Your Life,Gary John Bishop,3.84,69509,2016,6.242041
Why Men Love Bitches,Sherry Argov,3.85,55199,2009,6.2419312
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,3.85,54017,2017,6.2325305
Primal Leadership: Realizing the Power of Emotional Intelligence,Daniel Goleman,3.92,10744,2002,6.231166
HBR's 10 Must Reads on Managing Yourself (HBR's 10 Must Reads),Harvard Business Review,3.95,5327,2010,6.2264827
The Feeling Good Handbook,David D. Burns,3.94,6602,1989,6.2196755
Crush It!: Why Now Is the Time to Cash In on Your Passion,Gary Vaynerchuk,3.87,32866,2009,6.2167469
Unwinding Anxiety,Judson Brewer,3.92,10114,2020,6.2049229
"The Book of Ichigo Ichie: The Art of Making the Most of Every Moment, the Japanese Way",Hector Garcia Puigcerver,3.94,6136,2018,6.1878854
To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,3.88,24343,2012,6.1863741
"The Mask of Masculinity: How Men Can Embrace Vulnerability, Create Strong Relationships, and Live Their Fullest Lives",Lewis Howes,3.99,1916,2017,6.1823955
The Myth of the Nice Girl: Achieving a Career You Love Without Becoming a Person You Hate,Fran Hauser,3.97,2974,2018,6.173341
How to Decide: Simple Tools for Making Better Choices,Annie Duke,3.98,2342,2020,6.1695869
"Screw It, Let's Do It: Lessons in Life",Richard Branson,3.9,14744,2006,6.1686153
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,228873,1974,6.1595946
"Own the Day, Own Your Life: Optimised practices for waking, working, learning, eating, training, playing, sleeping and sex",Aubrey Marcus,3.93,7174,2018,6.1557614
Triggers: Creating Behavior That Lasts—Becoming the Person You Want to Be,Marshall Goldsmith,3.92,8995,2015,6.1540012
Off the Clock: Feel Less Busy While Getting More Done,Laura Vanderkam,3.95,4474,2018,6.150696
You Are Not So Smart,David McRaney,3.86,34950,2011,6.1434472
E-Squared: Nine Do-It-Yourself Energy Experiments That Prove Your Thoughts Create Your Reality,Pam Grout,3.91,10689,2013,6.1289371
Winning,Jack Welch,3.85,42155,2005,6.1248491
Execution: The Discipline of Getting Things Done,Larry Bossidy,3.87,26142,2006,6.1173388
"Positivity: Groundbreaking Research Reveals How to Embrace the Hidden Strength of Positive Emotions, Overcome Negativity, and Thrive",Barbara L. Fredrickson,3.97,2605,2009,6.1158077
Lying,Sam Harris,3.88,20311,2011,6.1077313
On Confidence,The School of Life,3.97,2557,2017,6.1077307
"Switch On Your Brain: The Key to Peak Happiness, Thinking, and Health",Caroline Leaf,3.93,6338,2007,6.1019522
Mind Over Mood: Change How You Feel By Changing the Way You Think,Dennis Greenberger,3.94,4961,1995,6.0955692
"The Memory Book: The Classic Guide to Improving Your Memory at Work, at School, and at Play",Harry Lorayne,3.97,2458,1974,6.0905819
"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,3.84,48806,2005,6.0884732
The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,3.86,30636,2003,6.0862321
You're Too Good to Feel This Bad: An Orthodox Approach to Living an Unorthodox Life,Nate Dallas,4.01,961,,6.0827234
Why We Do What We Do: Understanding Self-Motivation,Edward L. Deci,3.99,1504,1995,6.0772478
"The Present: The Secret to Enjoying Your Work and Life, Now!",Spencer Johnson,3.91,9473,1981,6.0764875
Walden,Henry David Thoreau,3.78,187627,1854,6.0732953
Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,Carmine Gallo,3.88,18484,2014,6.066796
Unbeatable Mind: Forge Resiliency and Mental Toughness to Succeed at an Elite Level,Mark Divine,3.97,2303,2012,6.0622939
Notes from a Friend: A Quick and Simple Guide to Taking Charge of Your Life,Anthony Robbins,3.97,2294,1995,6.0605934
The 12 Week Year,Brian P. Moran,3.9,11421,2009,6.0577041
"Why We Make Mistakes: How We Look Without Seeing, Forget Things in Seconds, and Are All Pretty Sure We Are Way Above Average",Joseph T. Hallinan,3.91,8960,2009,6.052308
The Art of Thinking Clearly,Rolf Dobelli,3.85,34655,2011,6.0397659
The Desire Map,Danielle LaPorte,3.91,8174,2012,6.0124346
How We Decide,Jonah Lehrer,3.84,40793,2009,6.0105856
The Perfect Day Formula: How to Own the Day and Control Your Life,Craig Ballantyne,3.99,1249,,5.9965624
Soulful Simplicity: How Living with Less Can Lead to So Much More,Courtney Carver,3.92,6209,2017,5.9930217
The How of Happiness: A Scientific Approach to Getting the Life You Want,Sonja Lyubomirsky,3.9,9806,2007,5.9914919
Stumbling on Happiness,Daniel Todd Gilbert,3.82,61029,2006,5.9855363
"The Secret (The Secret, #1)",Rhonda Byrne,3.73,470325,2006,5.9723981
"Present Over Perfect: Leaving Behind Frantic for a Simpler, More Soulful Way of Living",Shauna Niequist,3.82,57999,2016,5.9634205
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David  Brooks,3.86,23066,2011,5.9629723
Linchpin: Are You Indispensable?,Seth Godin,3.83,45299,2010,5.9560886
Liminal Thinking,Dave  Gray,3.95,2804,2016,5.947778
The Introvert Advantage: How to Thrive in an Extrovert World,Marti Olsen Laney,3.87,17685,2002,5.9476051
Quitter: Closing the Gap Between Your Day Job and Your Dream Job,Jon Acuff,3.91,6936,2011,5.9411091
The Paradox of Choice: Why More Is Less,Barry Schwartz,3.84,34570,2004,5.9386994
"How We Learn: The Surprising Truth About When, Where, and Why It Happens",Benedict Carey,3.91,6870,2014,5.9369567
The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,Neil A. Fiore,3.87,16325,1988,5.9128532
Hyperfocus: How to Be More Productive in a World of Distraction,Chris   Bailey,3.9,8087,2018,5.9077874
The Rise of Superman: Decoding the Science of Ultimate Human Performance,Steven Kotler,3.92,5095,2014,5.9071442
"SuperBetter: A Revolutionary Approach to Getting Stronger, Happier, Braver and More Resilient - Powered by the Science of Games",Jane McGonigal,3.95,2539,2015,5.9046627
"The Energy Bus: 10 Rules to Fuel Your Life, Work, and Team with Positive Energy",Jon Gordon,3.85,24885,2007,5.8959376
To-Do List Formula: A Stress-Free Guide To Creating To-Do Lists That Work!,Damon Zahariades,3.93,3836,2016,5.8838786
Love Yourself Like Your Life Depends on It,Kamal Ravikant,3.87,14828,2012,5.8710826
The Element: How Finding Your Passion Changes Everything,Ken Robinson,3.86,17994,2009,5.8551277
The Art of Public Speaking,Dale Carnegie,3.91,5181,1915,5.8144136
Iron John: A Book About Men,Robert Bly,3.9,6481,1984,5.811642
Better Than Before: Mastering the Habits of Our Everyday Lives,Gretchen Rubin,3.82,40791,2015,5.8105644
Spy the Lie: Former CIA Officers Teach You How to Detect Deception,Philip Houston,3.9,6441,2012,5.8089533
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,3.79,80729,2019,5.8070296
The Business of the 21st Century,Robert T. Kiyosaki,3.88,10054,,5.8023389
A Simplified Life: Tactical Tools for Intentional Living,Emily Ley,3.91,5037,2017,5.802172
Making It All Work: Winning at the Game of Work and Business of Life,David    Allen,3.93,3168,2003,5.8007852
"The Like Switch: An Ex-FBI Agent's Guide to Influencing, Attracting, and Winning People Over",Jack Schafer,3.9,6313,2015,5.8002358
The New One Minute Manager,Kenneth H. Blanchard,3.87,12455,2015,5.7953437
"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,3.91,4878,2017,5.7882418
Zen: The Art of Simple Living,Shunmyō Masuno,3.88,9668,2009,5.7853366
Your Best Year Ever: A 5-Step Plan for Achieving Your Most Important Goals,Michael Hyatt,3.89,7595,2018,5.7805278
Finding Flow: The Psychology of Engagement with Everyday Life,Mihály Csíkszentmihályi,3.9,5919,1995,5.7722483
The Silva Mind Control Method,José Silva,3.93,2889,1977,5.7607475
Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,Adam Alter,3.87,11400,2017,5.7569049
The Catalyst: How to Change Anyone's Mind,Jonah Berger,3.93,2648,2020,5.722918
A Complaint Free World: How to Stop Complaining and Start Enjoying the Life You Always Wanted,Will Bowen,3.91,4153,2007,5.7183619
"Brave, Not Perfect: Fear Less, Fail More, and Live Bolder",Reshma Saujani,3.88,8178,2019,5.7126471
Tribes: We Need You to Lead Us,Seth Godin,3.81,40835,2008,5.7110326
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking,3.77,102095,2016,5.7090045
Embrace Your Weird: Face Your Fears and Unleash Creativity,Felicia Day,3.93,2498,2019,5.6975924
"How Are You, Really? Living Your Truth One Answer at a Time",Jenna Kutcher,3.92,3121,2022,5.6942938
The Happiness Equation: Want Nothing + Do Anything = Have Everything,Neil Pasricha,3.87,9859,2015,5.6938329
Stop Saying You're Fine: Discover a More Powerful You,Mel Robbins,3.93,2396,2011,5.6794868
Everything Happens for a Reason: And Other Lies I've Loved,Kate Bowler,3.8,47506,2018,5.6767485
The Fred Factor: How Passion in Your Work and Life Can Turn the Ordinary into the Extraordinary,Mark Sanborn,3.88,7312,2002,5.6640362
Art and Fear: Observations on the Perils of Artmaking,David Bayles,3.77,90148,,5.6549561
"Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",Celeste Headlee,3.88,7048,2020,5.6480659
How to Own Your Own Mind,Napoleon Hill,3.95,1386,,5.6417632
The No Complaining Rule: Positive Ways to Deal with Negativity at Work,Jon Gordon,3.9,4277,2008,5.6311393
"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",Gretchen Rubin,3.83,21390,2017,5.6302108
The 5 AM Club: Own Your Morning. Elevate Your Life,Robin S. Sharma,3.77,84716,2018,5.6279654
A World Without Email: Reimagining Work in an Age of Communication Overload,Cal Newport,3.89,5253,2021,5.6204074
"Smartcuts: How Hackers, Innovators, and Icons Accelerate Success",Shane Snow,3.88,6551,2014,5.6163076
How Full Is Your Bucket?,Tom Rath,3.87,8245,2004,5.6161907
The Renaissance Soul: Life Design for People with Too Many Passions to Pick Just One,Margaret Lobenstine,3.92,2493,2006,5.5967223
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki,3.8,38436,2015,5.5847382
The Art of Work,Jeff Goins,3.9,3840,2015,5.5843312
"I Am That Girl: How to Speak Your Truth, Discover Your Purpose, and #bethatgirl",Alexis Jones,3.92,2382,2013,5.5769418
Simplify: 7 Guiding Principles to Help Anyone Declutter Their Home and Life,Joshua Becker,3.89,4725,2010,5.5744018
The Education of Millionaires: It's Not What You Think and It's Not Too Late,Michael Ellsberg,3.9,3678,2011,5.5656117
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,3.85,11297,2022,5.5529631
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,3.83,17756,2018,5.5493451
"The Tools: Transform Your Problems into Courage, Confidence, and Creativity",Phil Stutz,3.87,7060,2012,5.5488047
"Girl Code: Unlocking the Secrets to Success, Sanity, and Happiness for the Female Entrepreneur",Cara Alwill Leyba,3.89,4420,2015,5.5454223
The Dip: A Little Book That Teaches You When to Quit,Seth Godin,3.8,34927,2007,5.5431613
Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,3.78,52715,2003,5.5219342
The Wim Hof Method: Activate Your Full Human Potential,Wim Hof,3.84,13169,2020,5.5195528
The Art of Manliness: Classic Skills and Manners for the Modern Man,Brett McKay,3.9,3124,2009,5.494711
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,3.78,48741,2009,5.4878944
The Soul of Money: Transforming Your Relationship with Money and Life,Lynne Twist,3.89,3795,2003,5.4792118
How to Find Fulfilling Work,Roman Krznaric,3.9,2871,2012,5.4580332
Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness,Steve Magness,3.88,4466,,5.4499187
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Michael Hyatt,3.87,5573,2016,5.446089
Joyful: The Surprising Power of Ordinary Things to Create Extraordinary Happiness,Ingrid Fetell Lee,3.85,8732,2018,5.4411137
Change Anything: The New Science of Personal Success,Kerry Patterson,3.88,4324,2011,5.4358857
Adapt: Why Success Always Starts with Failure,Tim Harford,3.88,4091,2011,5.4118295
101 Essays That Will Change The Way You Think,Brianna Wiest,3.78,38782,2016,5.3886302
Power: Why Some People Have it and Others Don't,Jeffrey Pfeffer,3.87,4808,2010,5.3819645
When: The Scientific Secrets of Perfect Timing,Daniel H. Pink,3.79,30107,2018,5.3786675
"Play: How It Shapes the Brain, Opens the Imagination, and Invigorates the Soul",Stuart M. Brown Jr.,3.88,3686,2009,5.3665553
Reboot: Leadership and the Art of Growing Up,Jerry  Colonna,3.91,1814,2019,5.3586373
How to Change: The Science of Getting from Where You Are to Where You Want to Be,Katy Milkman,3.86,5691,2021,5.3551886
The Miracle Morning Journal,Hal Elrod,3.89,2719,,5.3344092
"Choose Yourself: Be Happy, Make Millions, Live the Dream",James Altucher,3.82,13242,2013,5.3219536
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.86,5062,2003,5.3043221
Meditation for Fidgety Skeptics: A 10% Happier How-To Book,Dan   Harris,3.83,9771,2017,5.289939
"Whatever You Think, Think the Opposite",Paul Arden,3.83,9564,2006,5.2806396
Ikigai: Los secretos de Japón para una vida larga y feliz,Hector Garcia Puigcerver,3.74,73413,2016,5.265773
"You Are a Badass Every Day: How to Keep Your Motivation Strong, Your Vibe High, and Your Quest for Transformation Unstoppable",Jen Sincero,3.82,11491,2018,5.2603578
"Organizing from the Inside Out: The Foolproof System for Organizing Your Home, Your Office and Your Life",Julie Morgenstern,3.84,6690,1998,5.2254261
"Emotional First Aid: Practical Strategies for Treating Failure, Rejection, Guilt, and Other Everyday Psychological Injuries",Guy Winch,3.86,4121,2013,5.2150026
Flourish: A Visionary New Understanding of Happiness and Well-being,Martin E.P. Seligman,3.84,6456,2011,5.2099635
"Overwhelmed: Work, Love, and Play When No One Has the Time",Brigid Schulte,3.83,8081,2014,5.2074651
"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,3.82,9953,2012,5.197954
"Change Your Questions, Change Your Life: 10 Powerful Tools for Life and Work",Marilee G. Adams,3.87,3145,2004,5.1976206
Get Out of Your Own Way: A Skeptic's Guide to Growth and Fulfillment,Dave Hollis,3.84,6067,2020,5.182974
"Mojo: How to Get It, How to Keep It, How to Get It Back If You Lose It",Marshall Goldsmith,3.89,1864,2009,5.1704459
Introvert Power: Why Your Inner Life Is Your Hidden Strength,Laurie A. Helgoe,3.84,5738,2008,5.1587605
QBQ! The Question Behind the Question: Practicing Personal Accountability in Work and in Life,John G. Miller,3.81,11435,2014,5.1582362
"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.71,113290,1993,5.1541916
Stop Doing That Sh*t: End Self-Sabotage and Demand Your Life Back,Gary John Bishop,3.84,5624,2019,5.1500453
"The Art of Non-Conformity: Set Your Own Rules, Live the Life You Want, and Change the World",Chris Guillebeau,3.81,10960,2014,5.1398106
What I Wish I Knew When I Was 20,Tina Seelig,3.81,10657,2009,5.127635
Remote: Office Not Required,David Heinemeier Hansson,3.8,13407,2013,5.1273316
Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment,Tal Ben-Shahar,3.82,8255,2007,5.1167171
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Barbara Oakley,3.89,1598,2017,5.1035768
How to Think Like Leonardo da Vinci: Seven Steps to Genius Every Day,Michael J. Gelb,3.83,6284,1998,5.0982362
Games People Play,Eric Berne,3.75,37553,1964,5.0746446
Drop the Ball: Achieving More by Doing Less,Tiffany Dufu,3.85,3742,2017,5.0731038
Everything That Remains: A Memoir by The Minimalists,Joshua Fields Millburn,3.81,9383,2013,5.0723417
"First, We Make the Beast Beautiful: A New Story About Anxiety",Sarah Wilson,3.79,14491,2017,5.0610984
"Insight: Why We're Not as Self-Aware as We Think, and How Seeing Ourselves Clearly Helps Us Succeed at Work and in Life",Tasha Eurich,3.86,2857,2017,5.0559102
The More of Less: Finding the Life You Want Under Everything You Own,Joshua Becker,3.79,14294,2016,5.0551538
How to Be Everything: A Guide for Those Who Don't Know What They Want to Be When They Grow Up,Emilie Wapnick,3.85,3568,2017,5.0524248
Working with Emotional Intelligence,Daniel Goleman,3.83,5501,1998,5.0404416
Verbal Judo: The Gentle Art of Persuasion,George J. Thompson,3.83,5470,1993,5.0379873
"Too Soon Old, Too Late Smart: Thirty True Things You Need to Know Now",Gordon Livingston,3.85,3339,2004,5.0236164
The Way of Men,Jack   Donovan,3.82,6635,2012,5.0218409
"59 Seconds: Think a Little, Change a Lot",Richard Wiseman,3.8,10470,2009,5.0199467
May Cause Miracles: A 40-Day Guidebook of Subtle Shifts for Radical Change and Unlimited Happiness,Gabrielle Bernstein,3.83,4933,2012,4.9931111
Big Friendship: How We Keep Each Other Close,Aminatou Sow,3.76,23048,2020,4.9626332
Spirit Junkie: A Radical Road to Self-Love and Miracles,Gabrielle Bernstein,3.82,5761,2011,4.9604979
"Happier Hour: How to Beat Distraction, Expand Your Time, and Focus on What Matters Most",Cassie Holmes,3.84,3620,,4.9587086
Soft Skills: The Software Developer's Life Manual,John Z. Sonmez,3.85,2734,,4.9367985
Build the Life You Want: The Art and Science of Getting Happier,Arthur C. Brooks,3.83,4331,,4.9365882
I'm OK - You're OK,Thomas A. Harris,3.76,18876,1967,4.87591
