Title,Author,Avg rating,Number of Ratings,Year Published,Score
Freedom from the Known,J. Krishnamurti,4.29,10601,1969,9.9253468
"Dream Big: Know What You Want, Why You Want It, and What You’re Going to Do About It",Bob Goff,4.31,6558,2020,9.9167714
You Are Here: Discovering the Magic of the Present Moment,Thich Nhat Hanh,4.29,10269,2004,9.9115282
Dare to Lead,Brené Brown,4.19,102503,2018,9.9107366
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.21,62651,1999,9.896928
21 Lessons for the 21st Century,Yuval Noah Harari,4.17,154538,2018,9.8890353
"Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness",Esther Hicks,4.28,12240,2008,9.8877814
Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza,4.27,15346,2017,9.8859952
"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud,4.2,75436,1992,9.8775787
No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,4.26,18762,2014,9.8732791
Stillness Speaks,Eckhart Tolle,4.26,18757,2003,9.8731634
Tiny Beautiful Things: Advice from Dear Sugar,Cheryl Strayed,4.18,118285,2012,9.8729297
You Were Born Rich: Now You Can Discover And Develop Those Riches,Bob Proctor,4.35,2289,2007,9.8596458
On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,4.24,28043,1976,9.8478245
Success Through a Positive Mental Attitude,Napoleon Hill,4.28,11006,1960,9.8416295
Outwitting the Devil: The Secret to Freedom and Success,Napoleon Hill,4.26,16449,2011,9.8161395
How I Raised Myself from Failure to Success in Selling,Frank Bettger,4.26,16379,1947,9.8142874
The Body Is Not an Apology: The Power of Radical Self-Love,Sonya Renee Taylor,4.24,25728,2018,9.810406
"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness",Epictetus,4.24,25665,,9.8093413
The Greatest Salesman in the World,Og Mandino,4.2,63732,1968,9.8043575
The Road Back to You: An Enneagram Journey to Self-Discovery,Ian Morgan Cron,4.21,50558,2016,9.8037899
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.15,198503,2005,9.7977671
"Psycho-Cybernetics, A New Way to Get More Living Out of Life",Maxwell Maltz,4.24,24092,1960,9.7818729
The Easy Way to Stop Smoking: Join the Millions Who Have Become Non-Smokers Using Allen Carr's Easyway Method,Allen Carr,4.26,15006,1985,9.7762649
The Art of Happiness,Dalai Lama XIV,4.17,115827,1998,9.7638098
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,4.23,28756,1999,9.7587285
"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",Shunryu Suzuki,4.21,45179,1970,9.7549366
The Hero Code: Lessons Learned from Lives Well Lived,William H. McRaven,4.32,3497,2021,9.7436956
Menti tribali: Perché le brave persone di dividono su politica e religione,Jonathan Haidt,4.2,55309,2012,9.7427958
The Power of Positive Thinking,Norman Vincent Peale,4.17,109784,1952,9.7405391
How to Have Confidence and Power in Dealing with People,Les Giblin,4.26,13666,1956,9.7356414
The Elements of Style,William Strunk Jr.,4.18,83544,1918,9.7219153
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,4.14,209546,2001,9.7212794
Why Won’t You Apologize?: Healing Big Betrayals and Everyday Hurts,Harriet Lerner,4.31,4147,2017,9.717734
"This Naked Mind: Control Alcohol, Find Freedom, Discover Happiness & Change Your Life",Annie Grace,4.25,16110,2015,9.7070955
Stillness Is the Key,Ryan Holiday,4.22,31973,2019,9.7047834
When the Body Says No: The Cost of Hidden Stress,Gabor Maté,4.24,20163,2003,9.7045552
You Are the Placebo: Making Your Mind Matter,Joe Dispenza,4.27,9936,2014,9.6972116
The High 5 Habit: Take Control of Your Life with One Simple Habit,Mel Robbins,4.27,9583,2021,9.6815015
"Get Rich, Lucky Bitch: Release Your Money Blocks and Live a First Class Life",Denise Duffield-Thomas,4.32,2891,2013,9.6610481
The Entrepreneur Roller Coaster: Why Now Is the Time to #Join the Ride,Darren Hardy,4.32,2859,2015,9.6562142
Intuitive Eating: A Revolutionary Program That Works,Evelyn Tribole,4.24,17853,1995,9.6517112
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins,4.21,34710,1986,9.6404546
Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,4.26,10845,2014,9.6352296
Change Your Thoughts - Change Your Life,Wayne W. Dyer,4.23,21080,2007,9.6238706
Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets of the Heart,James R. Doty,4.23,20448,2016,9.6106508
The 5 Levels of Leadership: Proven Steps to Maximize Your Potential,John C. Maxwell,4.28,6228,,9.5943486
"The Next Right Thing: A Simple, Soulful Practice for Making Life Decisions",Emily P. Freeman,4.27,7824,2019,9.5934288
Wishes Fulfilled,Wayne W. Dyer,4.28,6147,2012,9.5886632
"Conversations with God: An Uncommon Dialogue, Book 1",Neale Donald Walsch,4.2,38340,1995,9.5836521
Manifest,Roxie Nafousi,4.28,6074,,9.5834748
Siddhartha,Hermann Hesse,4.07,758957,1922,9.5802172
Goals!: How to Get Everything You Want Faster Than You Ever Thought Possible,Brian Tracy,4.24,15040,1989,9.5772478
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,4.2,37336,2007,9.5721278
The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.21,29430,1992,9.5687903
The 48 Laws of Power,Robert Greene,4.14,145447,1998,9.5627048
"When You're Ready, This Is How You Heal",Brianna Wiest,4.28,5719,2022,9.5573201
Three Feet from Gold: Turn Your Obstacles Into Opportunities!,Sharon L. Lechter,4.34,1431,2009,9.5556396
The Bhagavad Gita,Krishna-Dwaipayana Vyasa,4.17,70998,,9.5512461
Winning With People : Discover the People Principles That Work for You Every Time,John C. Maxwell,4.27,6999,2005,9.545036
The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,4.26,8696,2017,9.5393195
The Book: On the Taboo Against Knowing Who You Are,Alan W. Watts,4.22,21809,1966,9.5386358
"No Mud, No Lotus: The Art of Transforming Suffering",Thich Nhat Hanh,4.25,10901,2014,9.5374663
Turn the Ship Around!: A True Story of Turning Followers into Leaders,L. David Marquet,4.23,17112,2013,9.5333008
"Storyworthy: Engage, Teach, Persuade, and Change Your Life through the Power of Storytelling",Matthew Dicks,4.28,5346,2018,9.528029
How to Stop Worrying and Start Living,Dale Carnegie,4.15,105775,1944,9.524383
Becoming a Person of Influence: How to Positively Impact the Lives of Others,John C. Maxwell,4.28,5279,2012,9.5225517
Falling Upward: A Spirituality for the Two Halves of Life,Richard Rohr,4.23,15768,2004,9.4977766
Love for Imperfect Things: How to Accept Yourself in a World Striving for Perfection,Haemin Sunim,4.24,12420,2016,9.4941216
The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chödrön,4.22,19568,2001,9.4915464
Developing the Leader Within You,John C. Maxwell,4.21,23910,2005,9.4785796
Rebel Ideas: The Power of Diverse Thinking,Matthew Syed,4.28,4678,2019,9.4700602
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,4.2,29516,2018,9.4700575
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra,4.16,73554,1993,9.4666063
The Dream Giver,Bruce Wilkinson,4.26,7190,2003,9.4567289
Ask and It Is Given: Learning to Manifest Your Desires,Esther Hicks,4.19,35801,2004,9.4538952
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.19,35751,2016,9.4532882
